Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posición,Selección,Partidos Internacionales,Goles,Valor Mercado,Última Revisión,Pie,Agente,Proveedor
Nuke Mfulu,RC Deportivo,2ª División,05/08/2024,30/06/2026,20/03/1994 (30),Poissy,RD del Congo,"1,83 m",Pivote,RD Congo,7,0,700 mil €,07/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Charlie Patiño,RC Deportivo,2ª División,26/08/2024,30/06/2028,17/10/2003 (21),Watford,Inglaterra,"1,82 m",Mediocentro,Inglaterra S21,2,0,"3,00 mill. €",14/10/2024,Izquierdo,#LEADERS,adidas
Diego Villares,RC Deportivo,2ª División,01/02/2021,30/06/2027,17/06/1996 (28),Villalba,España,"1,80 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,14/10/2024,Derecho,Galka Scouting ...,Proveedor no encontrado
José Ángel Jurado,RC Deportivo,2ª División,25/07/2023,30/06/2026,21/06/1992 (32),Sevilla,España,"1,83 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Izquierdo,Jorge Llagostera ...,Proveedor no encontrado
Mario Soriano,RC Deportivo,2ª División,19/07/2022,30/06/2028,22/04/2002 (22),Alcalá de Henares,España,"1,63 m",Mediocentro ofensivo,Selección no encontrada,3,0,"1,80 mill. €",24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Hugo Rama,RC Deportivo,2ª División,31/08/2023,30/06/2025,22/11/1996 (27),Oroso,España,"1,77 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,Niagara Sports ...,Proveedor no encontrado
Yeremay Hernández,RC Deportivo,2ª División,01/07/2022,30/06/2030,10/12/2002 (21),Las Palmas,España,"1,69 m",Extremo izquierdo,España S21,2,0,"1,50 mill. €",14/10/2024,Derecho,Balance ...,Proveedor no encontrado
Davo,RC Deportivo,2ª División,01/07/2024,30/06/2026,18/12/1994 (29),Luarca,España,"1,78 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,Football Promotions ...,Proveedor no encontrado
Juan Carlos Gauto,RC Deportivo,2ª División,30/08/2024,30/06/2025,02/06/2004 (20),Perito Moreno,Argentina,"1,72 m",Extremo derecho,Selección no encontrada,10,2,"2,00 mill. €",14/10/2024,Derecho,La Squadra Sports,Proveedor no encontrado
David Mella,RC Deportivo,2ª División,01/02/2024,30/06/2026,23/05/2005 (19),Santiago de ...,España,"1,69 m",Extremo derecho,España S19,9,0,"2,00 mill. €",14/10/2024,Izquierdo,Bahía Internacional,adidas
Mohamed Bouldini,RC Deportivo,2ª División,29/08/2024,30/06/2028,27/11/1995 (28),Casablanca,Marruecos,"1,87 m",Delantero centro,Selección no encontrada,0,0,"1,50 mill. €",14/10/2024,Derecho,Niagara Sports ...,Proveedor no encontrado
Lucas Pérez,RC Deportivo,2ª División,01/01/2023,30/06/2025,10/09/1988 (36),A Coruña,España,"1,80 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Izquierdo,7DS,Proveedor no encontrado
Iván Barbero,RC Deportivo,2ª División,21/07/2023,30/06/2025,17/08/1998 (26),Roquetas de Mar,España,"1,86 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Cristian Herrera,RC Deportivo,2ª División,Fecha de fichaje no encontrada,Contrato no encontrado,13/03/1991 (33),Lugar de nacimiento no encontrado,España,"1,82 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,07/06/2024,Ambidiestro,CAA Stellar,Proveedor no encontrado
Daniel Fuzato,SD Eibar,2ª División,10/07/2024,30/06/2026,04/07/1997 (27),Santa Bárbara ...,Brasil,"1,90 m",Portero,Selección no encontrada,0,0,900 mil €,07/06/2024,Derecho,SportsMaxi ...,Proveedor no encontrado
Jonmi Magunagoitia,SD Eibar,2ª División,02/07/2024,30/06/2026,06/08/2000 (24),Amorebieta,España,"1,83 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,Football Promotions ...,Proveedor no encontrado
Aritz Arambarri,SD Eibar,2ª División,29/08/2024,30/06/2027,31/01/1998 (26),Azkoitia,España,"1,86 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Álvaro Carrillo,SD Eibar,2ª División,12/07/2024,30/06/2026,06/04/2002 (22),Murcia,España,"1,82 m",Defensa central,Selección no encontrada,0,0,400 mil €,14/10/2024,Derecho,Media Base Sports,Proveedor no encontrado
Chema Rodríguez,SD Eibar,2ª División,21/07/2022,30/06/2025,03/03/1992 (32),Caudete,España,"1,89 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,14/10/2024,Izquierdo,Sport Agency 4U,Proveedor no encontrado
Anaitz Arbilla,SD Eibar,2ª División,30/08/2016,30/06/2025,15/05/1987 (37),Pamplona,España,"1,78 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Cristian Gutiérrez,SD Eibar,2ª División,07/08/2023,30/06/2027,30/11/2000 (23),Marbella,España,"1,77 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Izquierdo,Promoesport,Proveedor no encontrado
Hodei Arrillaga,SD Eibar,2ª División,01/07/2024,30/06/2027,21/05/2004 (20),Mutriku,España,Altura no encontrada,Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,14/10/2024,Pie no encontrado,Bahía Internacional,Proveedor no encontrado
Sergio Cubero,SD Eibar,2ª División,01/07/2021,30/06/2025,05/09/1999 (25),Mungía,España,"1,87 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Sergio Álvarez,SD Eibar,2ª División,26/07/2018,30/06/2026,23/01/1992 (32),Avilés,España,"1,83 m",Pivote,Selección no encontrada,3,0,"1,00 mill. €",24/06/2024,Derecho,Balance ...,Proveedor no encontrado
Peru Nolaskoain,SD Eibar,2ª División,31/01/2024,30/06/2027,25/10/1998 (25),Zumaia,España,"1,86 m",Pivote,Selección no encontrada,1,0,"1,00 mill. €",24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Kento Hashimoto,SD Eibar,2ª División,29/08/2024,30/06/2025,16/08/1993 (31),"Itabashi, Tokyo",Japón,"1,83 m",Pivote,Selección no encontrada,15,1,"1,00 mill. €",24/06/2024,Derecho,Active Action Asia,Proveedor no encontrado
Matheus Pereira,SD Eibar,2ª División,12/07/2022,30/06/2025,25/02/1998 (26),São Paulo,Brasil,"1,83 m",Mediocentro,Selección no encontrada,2,0,"1,20 mill. €",24/06/2024,Izquierdo,Elenko Sports Ltda.,Proveedor no encontrado
Ander Madariaga,SD Eibar,2ª División,01/07/2024,30/06/2026,11/03/2002 (22),Berango,España,Altura no encontrada,Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,14/10/2024,Pie no encontrado,Podium Trade,Proveedor no encontrado
Toni Villa,SD Eibar,2ª División,27/08/2024,30/06/2026,07/01/1995 (29),Lorquí,España,"1,72 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",14/10/2024,Derecho,JV SPORTS,Proveedor no encontrado
Martín Merquelanz,SD Eibar,2ª División,24/07/2024,30/06/2025,12/06/1995 (29),Irun,España,"1,76 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,07/06/2024,Izquierdo,IDUB GLOBAL,Proveedor no encontrado
Ángel Troncho,SD Eibar,2ª División,01/01/2023,30/06/2027,02/10/2002 (22),Benicarló,España,Altura no encontrada,Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Pie no encontrado,B1G Talent,Proveedor no encontrado
Antonio Puertas,SD Eibar,2ª División,23/07/2024,30/06/2026,21/02/1992 (32),Benahadux,España,"1,83 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,00 mill. €",07/06/2024,Derecho,Promoesport,Proveedor no encontrado
Xeber Alkain,SD Eibar,2ª División,30/07/2024,30/06/2026,26/06/1997 (27),Hondarribia,España,"1,74 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",07/06/2024,Derecho,Gesport Espizua SL,Proveedor no encontrado
José Corpas,SD Eibar,2ª División,01/07/2021,30/06/2026,07/07/1991 (33),Baños de la Encina,España,"1,78 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Jon Guruzeta,SD Eibar,2ª División,02/07/2024,30/06/2026,03/04/2000 (24),Donostia-San ...,España,"1,85 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,YOU FIRST,Proveedor no encontrado
Jon Bautista,SD Eibar,2ª División,22/07/2022,30/06/2025,03/07/1995 (29),Mahón,España,"1,80 m",Delantero centro,Selección no encontrada,0,0,"2,20 mill. €",24/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Jorge Pascual,SD Eibar,2ª División,06/07/2024,30/06/2025,09/04/2003 (21),Almería,España,"1,87 m",Delantero centro,Selección no encontrada,0,0,"1,20 mill. €",14/10/2024,Izquierdo,WAKAI SPORTS,Proveedor no encontrado
Slavy,SD Eibar,2ª División,10/07/2024,30/06/2026,05/05/2002 (22),Huesca,Bulgaria,"1,82 m",Delantero centro,Bulgaria U21,6,0,300 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Ander Cantero,Burgos CF,2ª División,07/07/2024,30/06/2027,09/01/1995 (29),Pamplona,España,"1,92 m",Portero,Selección no encontrada,4,0,"1,00 mill. €",24/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Loïc Badiashile,Burgos CF,2ª División,01/07/2023,30/06/2027,05/02/1998 (26),Limoges,Francia,"1,86 m",Portero,Selección no encontrada,0,0,100 mil €,24/06/2024,Derecho,CANTERASPORT,Proveedor no encontrado
Aitor Córdoba,Burgos CF,2ª División,01/07/2019,30/06/2026,21/05/1995 (29),Bilbao,España,"1,91 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Derecho,Football Promotions ...,Proveedor no encontrado
Lisandro López,Burgos CF,2ª División,27/08/2024,30/06/2025,01/09/1989 (35),Villa Constitución,Argentina,"1,87 m",Defensa central,Selección no encontrada,4,0,"1,00 mill. €",04/06/2024,Derecho,Universal Twenty Two,Proveedor no encontrado
David López,Burgos CF,2ª División,06/08/2024,30/06/2025,03/02/2003 (21),Palma de Mallorca,España,"1,95 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Pie no encontrado,LIAN Sports Group,Proveedor no encontrado
Florian Miguel,Burgos CF,2ª División,17/07/2024,30/06/2026,01/09/1996 (28),Bruges,Francia,"1,79 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",04/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Ian Forns,Burgos CF,2ª División,28/08/2024,30/06/2025,05/02/2004 (20),Cardedeu,España,Altura no encontrada,Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Izquierdo,WAKAI SPORTS,Proveedor no encontrado
Pipa,Burgos CF,2ª División,30/08/2024,30/06/2025,26/01/1998 (26),Esparraguera,España,"1,76 m",Lateral derecho,Selección no encontrada,6,0,"2,00 mill. €",24/05/2024,Derecho,Pro Evolution ...,Proveedor no encontrado
Anderson Arroyo,Burgos CF,2ª División,06/07/2024,30/06/2027,27/09/1999 (25),Quibdó,Colombia,"1,76 m",Lateral derecho,Selección no encontrada,2,0,800 mil €,24/06/2024,Derecho,Alinea,Proveedor no encontrado
Raúl Navarro,Burgos CF,2ª División,07/08/2020,30/06/2025,07/02/1994 (30),Sevilla,España,"1,67 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,Promoesport,Proveedor no encontrado
Miguel Atienza,Burgos CF,2ª División,08/07/2022,30/06/2026,27/05/1999 (25),Madrid,España,"1,86 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Derecho,RMD Sport Manager,Proveedor no encontrado
Kévin Appin,Burgos CF,2ª División,04/08/2023,30/06/2025,20/01/1998 (26),Marseille,Martinica,"1,76 m",Mediocentro,Martinica,8,1,"1,00 mill. €",14/10/2024,Derecho,CANTERASPORT,Proveedor no encontrado
