Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Rubén Pulido,SD Huesca,2ª División,29/08/2022,30/06/2025,02/09/2000 (24),Madrid,España,"1,84 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Ignasi Vilarrasa,SD Huesca,2ª División,05/07/2022,30/06/2025,23/08/1999 (25),Granollers,España,"1,83 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",14/10/2024,Izquierdo,MSSports,Proveedor no encontrado
Jordi Martín,SD Huesca,2ª División,29/08/2024,30/06/2026,05/01/2001 (23),Madrid,España,"1,76 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,14/10/2024,Izquierdo,Antonio López ...,adidas
Miguel Loureiro,SD Huesca,2ª División,03/07/2023,30/06/2025,21/11/1996 (27),Cerceda,España,"1,82 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Derecho,Eugenio Botas ...,Proveedor no encontrado
Toni Abad,SD Huesca,2ª División,04/07/2024,30/06/2026,03/11/1996 (27),Valencia,España,"1,74 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Óscar Sielva,SD Huesca,2ª División,01/07/2023,30/06/2026,06/08/1991 (33),Olot,España,"1,80 m",Mediocentro,Selección no encontrada,15,2,900 mil €,24/06/2024,Derecho,IGdreamsfootball,Proveedor no encontrado
Javi Mier,SD Huesca,2ª División,02/09/2023,30/06/2025,04/02/1999 (25),Oviedo,España,"1,76 m",Mediocentro,Selección no encontrada,1,0,600 mil €,24/06/2024,Derecho,Best of You,Proveedor no encontrado
Iker Kortajarena,SD Huesca,2ª División,01/07/2023,30/06/2025,21/06/2000 (24),Oiartzun,España,"1,82 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Javi Pérez,SD Huesca,2ª División,31/07/2024,30/06/2025,14/08/1995 (29),Cabanillas del Campo,España,"1,85 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,JV SPORTS,Proveedor no encontrado
Javi Hernández,SD Huesca,2ª División,13/08/2024,30/06/2025,30/01/2004 (20),Barcelona,España,Altura no encontrada,Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Izquierdo,CAA Base Ltd,Proveedor no encontrado
Hugo Vallejo,SD Huesca,2ª División,01/09/2023,30/06/2025,15/02/2000 (24),Granada,España,"1,81 m",Extremo izquierdo,Selección no encontrada,0,0,500 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Joaquín Muñoz,SD Huesca,2ª División,04/07/2019,30/06/2025,10/03/1999 (25),Málaga,España,"1,72 m",Extremo derecho,Selección no encontrada,0,0,"1,00 mill. €",14/10/2024,Ambidiestro,JV SPORTS,Nike
Gerard Valentín,SD Huesca,2ª División,27/01/2022,30/06/2026,28/07/1993 (31),Avinyonet de ...,España,"1,77 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,900 mil €,14/10/2024,Derecho,Promoesport,Proveedor no encontrado
